Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross
4/23/2019,Avengers: Endgame,400000000,858373000,2797800564
5/20/2011,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802
4/22/2015,Avengers: Age of Ultron,365000000,459005868,1395316979
12/16/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817
4/25/2018,Avengers: Infinity War,300000000,678815482,2044540523
5/24/2007,Pirates of the Caribbean: At World’s End,300000000,309420425,960996492
11/13/2017,Justice League,300000000,229024295,655945209
10/6/2015,Spectre,300000000,200074175,879500760
12/18/2019,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487
5/23/2018,Solo: A Star Wars Story,275000000,213767512,393151347
3/7/2012,John Carter,263700000,73058679,282778100
3/23/2016,Batman v Superman: Dawn of Justice,263000000,330360194,872395091
12/13/2017,Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141
7/11/2019,The Lion King,260000000,543638043,1654367425
11/24/2010,Tangled,260000000,200821936,584899819
5/4/2007,Spider-Man 3,258000000,336530303,894860230
4/22/2016,Captain America: Civil War,250000000,408084349,1151918521
7/15/2009,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069
12/12/2013,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436
12/10/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558
4/7/2017,The Fate of the Furious,250000000,225764765,1236703796
9/29/2021,No Time to Die,250000000,159740451,761155836
12/17/2009,Avatar,237000000,760507625,2845899541
6/28/2006,Superman Returns,232000000,200120000,391081192
7/19/2012,The Dark Knight Rises,230000000,448139099,1082228107
5/23/2017,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794
11/14/2008,Quantum of Solace,230000000,169368427,591692078
4/25/2012,The Avengers,225000000,623357910,1515100211
7/6/2006,Pirates of the Caribbean: Dead Man’s Chest,225000000,423315812,1066179725
6/14/2013,Man of Steel,225000000,291045518,667999518
5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
7/2/2013,The Lone Ranger,225000000,89302115,260002115
6/27/2012,The Amazing Spider-Man,220000000,262030663,757890267
4/11/2012,Battleship,220000000,65233400,313477717
6/20/2017,Transformers: The Last Knight,217000000,130168683,602893340
6/9/2015,Jurassic World,215000000,652306625,1669979967
5/23/2012,Men in Black 3,215000000,179020854,654213485
6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699
6/25/2014,Transformers: Age of Extinction,210000000,245439076,1104054072
5/26/2006,X-Men: The Last Stand,210000000,234362462,459260946
5/14/2010,Robin Hood,210000000,105487148,322459006
12/14/2005,King Kong,207000000,218080025,550517357
12/7/2007,The Golden Compass,205000000,70107728,367262558
8/26/2020,Tenet,205000000,58456624,362403476
2/13/2018,Black Panther,200000000,700059566,1336494321
12/18/1997,Titanic,200000000,659363944,2207986545
6/15/2018,Incredibles 2,200000000,608581744,1242805359
12/14/2016,Rogue One: A Star Wars Story,200000000,532177324,1055135598
6/16/2016,Finding Dory,200000000,486295561,1025006125
6/20/2019,Toy Story 4,200000000,434038008,1073080329
6/18/2010,Toy Story 3,200000000,415004880,1068879522
4/24/2013,Iron Man 3,200000000,408992272,1215392272
4/28/2017,Guardians of the Galaxy Vol 2,200000000,389813101,869113101
6/30/2004,Spider-Man 2,200000000,373524485,794697557
3/4/2010,Alice in Wonderland,200000000,334191110,1025491110
